관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,데이터기준일자,,
완남부원군 이후원 묘역,기념물,,서울특별시 강남구 자곡동 산39-3,37.475286,,,,,,,,,,,,,,
우암송시열 초구 일령,민속자료,,서울특별시 강남구 압구정동 489,37.52951197,127.0383765,,,,,,,,,,,,,
삼해주약주,무형문화유적,,서울특별시 강남구 압구정동 369-1,37.53360328,127.0283258,,,,,,,,,,,,,
운봉수향낭,민속자료,,서울특별시 강남구 논현동 89-4,37.515333,127.0333102,,,,,,,,,,,,,
일월수다라니주머니,민속자료,,서울특별시 강남구 논현동 89-4,37.515333,127.0333102,,,,,,,,,,,,,
오조룡왕비보,민속자료,,서울특별시 강남구 논현동 89-4,37.515333,127.0333102,,,,,,,,,,,,,
남사당놀이,무형문화유적,,서울특별시 강남구 삼성동 112-2,37.51009307,127.044621,,,,,,,,,,,,,
북청사자놀음,무형문화유적,,서울특별시 강남구 삼성동 112-2,37.51009307,127.044621,,,,,,,,,,,,,
궁산근린공원,,서울특별시 강서구 양천로47나길 52-54,서울특별시 강서구 가양동 산4-7외 5필지,37.57425363,126.8413319,29752,없음,,,,,,1992-03-10,1000,0,2021-03-22,3150000,서울특별시 강서구
구암근린공원,,서울특별시 강서구 허준로5길 42,,37.56759867,126.8537291,29843,화장실+주차장,,,,,,1993-10-31,20000,10,2021-03-22,3150000,서울특별시 강서구
양천향교,,서울특별시 강서구 양천로47나길 53,,37.572863,126.839905,1782,화장실,,,,,,1990-06-18,100,0,2021-03-22,3150000,서울특별시 강서구
영인문학관,박물관/기념관,서울  종로구,,37.5794832,126.9715875,,,,,,,,,,,,,
한국미술박물관,박물관/기념관,서울  종로구,,37.57371316,126.9890575,,,,,,,,,,,,,
한상수자수박물관,박물관/기념관,서울  종로구 가회동 11-32 ),,37.57659207,126.9856418,,,,,,,,,,,,,
서울닭문화관,박물관/기념관,서울  종로구 가회동 12 ),,37.56901165,126.985267,,,,,,,,,,,,,
북촌미술관,미술관,서울  종로구 가회동 170-4  ),,37.58126437,126.9847664,,,,,,,,,,,,,
불교미술관,미술관,서울  종로구 견지동 38-2 ),,37.57049685,126.9827462,,,,,,,,,,,,,
체신기념관,박물관/기념관,서울  종로구 견지동 39-7 ),,37.57715793,126.982625,,,,,,,,,,,,,
한국불교역사문화기념관,박물관/기념관,서울  종로구 견지동 45,,37.583653,126.9820647,,,,,,,,,,,,,
목인박물관,박물관/기념관,서울  종로구 견지동 83 ),,37.573871,126.9836694,,,,,,,,,,,,,
동산방화랑,미술관,서울  종로구 견지동 93 ),,37.573514,126.98335,,,,,,,,,,,,,
서울아트센터,미술관,서울  종로구 공평동  우정국로2길 32,,37.57389395,126.9847764,,,,,,,,,,,,,
