관광숙박업 등록현황 (20.12.31기준),,,,,,,,,,,,,,
번호,"지역1
(시도)","지역2
(시군구)",업종,호텔명(등록명칭),"관광사업자명
(법인명 or 개인명)","영업상태
(19.12.31기준)",현행 호텔등급,,시설개요,,,객실수,주소(도로명주소),부대시설
,,,,,,,등급,등급부여일,층수(지하~지상),"대지면적
(㎡)","건축연면적
(㎡)",,,
82,강원,원주시,콘도미니엄,"HDC리조트 콘도미니엄(A, B)",에이치디씨리조트 주식회사,영업중,,,지하2~지상9층 ,"65,116 ","69,230 ",452 ,원주시 지정면 오크밸리1길 66,
83,강원,원주시,콘도미니엄,HDC리조트 콘도미니엄(North),에이치디씨리조트 주식회사,영업중,,,지상8층 ,"29,193 ","17,575 ",103 ,원주시 지정면 월송석화로 994,
84,강원,원주시,콘도미니엄,HDC리조트 콘도미니엄(South),에이치디씨리조트 주식회사,영업중,,,지하1~지상7층/지하1~지상2층 ,"30,526 ","20,803 ",166 ,원주시 지정면 오크밸리1길 68,
85,강원,원주시,콘도미니엄,HDC리조트 콘도미니엄(C),에이치디씨리조트 주식회사,영업중,,,지상15층 ,"25,456 ","27,057 ",240 ,원주시 지정면 오크밸리2길 56,
86,강원,원주시,콘도미니엄,HDC리조트 콘도미니엄(D),에이치디씨리조트 주식회사,영업중,,,지하2층~지상12층 ,"15,096 ","32,876 ",145 ,원주시 지정면 오크밸리2길 40,
87,강원,강릉시,콘도미니엄,경포산장콘도,이용제,영업중,,,지상8층,"12,377 ","5,388 ",92 ,강릉시 하남길 345-18,매점 등
88,강원,강릉시,콘도미니엄,라카이샌드파인,허인영,영업중,,,지하2층~지상9층,"61,021 ","56,058 ",281 ,강릉시 해안로 536,"레스토랑, 휘트니스, 연회장, 스파&테라피 등"
89,강원,강릉시,콘도미니엄,썬크루즈호텔&리조트,박기열,영업중,,,지상10층,"122,064 ","17,872 ",209 ,강릉시 강동면 헌화로 950-39,"라운지, 수영장, 사우나, 휘트니스, 키즈클럽 등"
90,강원,동해시,콘도미니엄,망상오토캠핑리조트,,휴업,,,지상1,"62,502 ","5,881 ",54 ,강원도 동해시 동해대로 6370(망상동),"화장실, 편의점, 샤워장, 컨벤션센터 등"
91,강원,태백,콘도미니엄,주식회사 오투리조트,이종혁,영업중,,, 지하1층~지상10층 ,"11,733 ","54,242 ",424 ,강원도 태백시 서학로 861,"사우나, 편의점, 일반음식점, 노래방 등"
92,강원,속초시,콘도미니엄,주식회사 신세계영랑호리조트,주식회사 신세계영랑호리조트,영업중,,,지하2~지상20,"12,950 ","16,416 ",260 ,강원도 속초시 영랑호반길 170 (금호동),"바베큐장, 체력단련실, 세미나실, 편의점 등"
93,강원,속초시,콘도미니엄,한화호텔앤드리조트(주) 콘도미니엄,한화호텔앤드리조트(주),영업중,,,지하1~지상6,"56,760 ","58,353 ",768 ,강원도 속초시 미시령로2983번길 111 (장사동),"식당, 카페, 라운지, 세탁실, 편의점 등"
94,강원,속초시,콘도미니엄,한화호텔앤드리조트(주) 별관,한화호텔앤드리조트(주),영업중,,,지하1~지상7,"100,660 ","64,336 ",796 ,강원도 속초시 미시령로2983번길 111 (장사동),"라운지, 편의점 등"
95,강원,속초시,콘도미니엄,설악파인리조트 콘도미니엄,미래개발 주식회사,휴업,,,지하1~지상9,-,"18,363 ",141 ,강원도 속초시 관광로408번길 14 (노학동),"탁구장, 바베큐장, 편의점, 스파, 노래방, 연회장, 헬스장 등"
96,강원,속초시,콘도미니엄,사조마을설악콘도미니엄,주식회사 그린앤블루,휴업,,,지하2~지상5,"27,979 ","20,903 ",219 ,강원도 속초시 싸리재길 247-41 (노학동),
