관광숙박업 등록현황 (20.12.31기준),,,,,,,,,,,,,,
번호,"지역1
(시도)","지역2
(시군구)",업종,호텔명(등록명칭),"관광사업자명
(법인명 or 개인명)","영업상태
(19.12.31기준)",현행 호텔등급,,시설개요,,,객실수,주소(도로명주소),부대시설
,,,,,,,등급,등급부여일,층수(지하~지상),"대지면적
(㎡)","건축연면적
(㎡)",,,
1024,서울특별시,금천구,호스텔,바모스,김민중,영업중,호스텔,,지하1층~지상10층,600.3,2734.68,93,서울특별시 금천구 벚꽃로 204 (가산동),
1025,서울특별시,금천구,호스텔,호텔 트리플8,"최은영,윤성일,윤병철",영업중,호스텔,,지하1층~지상10층,224.7,982.8,40,서울특별시 금천구 시흥대로56길 15(시흥동),
1026,서울특별시,금천구,호스텔,스텔라이,고철석 외 1 명,영업중,호스텔,,지하1층~지상11층,469.1,2110.25,73,서울특별시 금천구 두산로5길 7 (독산동),
1027,서울특별시,영등포구,관광호텔,켄싱턴호텔 여의도,주식회사 이랜드파크,영업중,4성,2019.06.19.,B2~15F,4628,22326.8,228,서울특별시 영등포구 국회대로76길 16 (여의도동),"EFL 라운지
브로드웨이 (뷔페 레스토랑)
양스앤메츠 (커피&바)
뉴욕뉴욕 (양식당)
로비라운지
회의장
웨딩홀"
1028,서울특별시,영등포구,가족호텔,메리엇 이그제큐티브 아파트먼트 서울,씨앤에이치하스피탤러티 주식회사,영업중,가족호텔,,지하3층~지상14층,6366,20997.37,103,"서울특별시 영등포구 여의대로 8 (여의도동, 여의도파크센터)","미팅룸, 비즈니스센터, 휘트니스, 스파, 남여사우나, 실내골프장, 수영장, 스쿼시장, 키즈룸"
1029,서울특별시,영등포구,관광호텔,코트야드 바이 메리어트 서울 타임스퀘어,주식회사 경방,영업중,미등급,,지하 5~지상15,3287.45,25302.52,283,"서울특별시 영등포구 영중로 15 (영등포동4가, 타임스퀘어)","• 6개의 중소 연회장
• 이그제큐티브 라운지
• 룸 서비스 및 세탁 서비스
• 24시간 피트니스 센터
• 컨시어지 서비스
• 무료 주차"
1030,서울특별시,영등포구,관광호텔,콘래드 서울 호텔,에스아이에프씨호텔디벨로프먼트 유한회사,영업중,5성,2019.06.28,지하~지상38,6623.24,93115.1,434,서울특별시 영등포구 국제금융로 10 (여의도동),"부페-ZEST                          이탈리안 레스토랑-Atrio               바-37Grill                         커피숍-10G,Flames                  연회장-그랜드볼륨,파크,스튜디오                                피트니스센터,수영장–PULSE8 
스파–CONRAD SPA
헤어샵–TONI & GUY "
1031,서울특별시,영등포구,관광호텔,로프트 관광호텔(HOTEL LOFT),최향연 외 3 명,영업중,3성,2019.05.22.,"지하 2층, 지상10층",661.5,3530.42,58,서울특별시 영등포구 선유동2로 72 (당산동5가),레스토랑 
1032,서울특별시,영등포구,관광호텔,노바루스관광호텔,이태근,영업중,미등급,,지하2층 지상7층,247.83,1140.11,32,서울특별시 영등포구 선유로 88-6 (양평동1가),
1033,서울특별시,영등포구,관광호텔,호텔 브릿지,한국자산운영주식회사,영업중,미등급,,지하1층~지상13층,744,2519,83,서울특별시 영등포구 영등포로 9 (양평동2가),조식당
1034,서울특별시,영등포구,관광호텔,글래드호텔앤리조트(주) 글래드 여의도,글래드호텔앤리조트,영업중,4성,2018.12.27.,지하5~지상12,2522,24414.51,319,서울특별시 영등포구 의사당대로 16 (여의도동),"Mark't Bar
Greet's restaurant"
1035,서울특별시,영등포구,관광호텔,갤럭시 관광호텔,(주)에스케이코리아,영업중,미등급,,"지상 16층,
지하 3층",760,7899.73,215,"서울특별시 영등포구 버드나루로 90 (당산동, 스카이리버)",레스토랑
1036,서울특별시,영등포구,소형호텔,호텔조커Ⅰ,(주)제로원종합건설,영업중,소형호텔,,지하1~8층,165.6,731,27,서울특별시 영등포구 양산로1길 3-1 (양평동3가),"식당, 무료 WIFI, 사무실"
1037,서울특별시,영등포구,소형호텔,호텔조커Ⅱ,(주)제로원종합건설,영업중,소형호텔,,지하1~8층,165.6,731,27,서울특별시 영등포구 양산로1길 5 (양평동3가),"식당, 무료 WIFI, 사무실"
1038,서울특별시,영등포구,관광호텔,씨엘 관광호텔,씨엘호텔(주),영업중,2성,2019.12.20.,"지하1층,
지상10층",401.3,1839.24,49,서울특별시 영등포구 영신로32길 8 (영등포동4가),"레스토랑,커피솝"
1039,서울특별시,영등포구,관광호텔,영등포 칸 관광호텔,(주)칸,휴업,1성,2019.04.04.,20층,525㎡,3469.8,59,서울특별시 영등포구 버드나루로 74 (영등포동7가),"B1층 - 조식 , 레스토랑
2층 - 로비 (컴퓨터,프린터기)"
1040,서울특별시,영등포구,관광호텔,JARDIN HOTEL,자딘호텔 주식회사,영업중,2성,2017.05.11,지하1층지상11층,238.6,977.87,36,서울특별시 영등포구 영신로34길 33 (영등포동4가),1층 커피숖
1041,서울특별시,영등포구,관광호텔,Chateau 관광호텔,쌰또호텔 주식회사,영업중,미등급,,11,211.6,947.12,34,서울특별시 영등포구 선유로 100 (양평동1가),"식당, 직원휴게실"
1042,서울특별시,영등포구,호스텔,브이아이피(VIP),장경옥,영업중,호스텔,,6층,513.3,985.49,35,"서울특별시 영등포구 경인로114나길 6 (영등포동1가, VIP빌딩)",관광호텔지원 편의시설
1043,서울특별시,영등포구,관광호텔,호텔 지엠에스[HOTEL GMS],김정수,영업중,3성,2020.10.16,지하2층 지상20층,"633,5",7665.21,159,"서울특별시 영등포구 경인로 867 (영등포동3가, GMS호텔)",2층 커피숍(카페 드람브르)              
1044,서울특별시,영등포구,관광호텔,베니키아 프리미어 여의도호텔,최성돈 외 1 명,영업중,2성,2019.11.26.,지하2~지상20,825,4886.43,133,서울특별시 영등포구 영등포로 389 (신길동),"식당,커피숍"
1045,서울특별시,영등포구,호스텔,여울,김대현 외 1 명,영업중,호스텔,,지하1~지상8,145,599.79,28,서울특별시 영등포구 영등포로47길 11-1 (영등포동2가),"공동취사시설,
문화·정보교류시설"
1046,서울특별시,영등포구,호스텔,가온누리,서성원 외 1 명,영업중,호스텔,,지하1~지상8,214.5,938.98,51,서울특별시 영등포구 선유동1로 6-18 (당산동2가),"문화·정보교류시설,
직원휴게실"
1047,서울특별시,영등포구,호스텔,다담,김용국,영업중,호스텔,,지하1~지상7,119.42,393.67,17,서울특별시 영등포구 당산로16길 13-1 (당산동1가),"문화·정보교류시설,
직원휴게실"
1048,서울특별시,영등포구,호스텔,베스트웨이,김흥일,영업중,호스텔,,지하1~지상8,135.45,490.75,21,서울특별시 영등포구 당산로20길 6 (당산동1가),문화·정보교류시설
1049,서울특별시,영등포구,가족호텔,더파크호텔,더파크호텔 주식회사,영업중,가족호텔,,지하4~지상14,1274.5,9727.52,141,"서울특별시 영등포구 양평로 136, 파크호텔 (양평동5가)","식당(조식당),커피숍,회의실,식당(레스토랑)"
1050,서울특별시,영등포구,가족호텔,따담,박재원 외 1 명,영업중,가족호텔,,지하1~지상10,310.6,1332.96,42,서울특별시 영등포구 영등포로 93 (당산동2가),문화정보교류시설
1051,서울특별시,영등포구,가족호텔,더 스테이트 선유호텔,주식회사 한승투자개발,영업중,가족호텔,,지하3~지상14,1274.5,9317.87,146,서울특별시 영등포구 양평로 132 (양평동5가),"커피숍,레스토랑,연회장"
1052,서울특별시,영등포구,관광호텔,베니키아 호텔 카카오,조정선 외 1 명,영업중,1성,2018.11.08.,지하2~지상12,249.9,1574.46,44,"서울특별시 영등포구 경인로108길 15, 코코아관광호텔 (영등포동1가)",식당
1053,서울특별시,영등포구,호스텔,더 리베라,박근영,영업중,호스텔,,지하1~지상10,301.2,1252.4,49,서울특별시 영등포구 당산로20길 5-1 (당산동1가),문화·정보교류시설
1054,서울특별시,영등포구,호스텔,STOWER HOSTEL,김부남,영업중,호스텔,,지하2~지상11,140,816.9,27,서울특별시 영등포구 신길로33길 20 (신길동),"휴게음식점, 문화정보교류시설"
1055,서울특별시,영등포구,호스텔,이도,김수원 외 4 명,영업중,호스텔,,지하1/지상8,214.6.,673.47,27,서울특별시 영등포구 국회대로36길 2-1 (당산동3가),문화정보교류시설
1056,서울특별시,영등포구,호스텔,가예,장석진 외 1명,영업중,호스텔,,지하1/지상9,214.9.,851.67,34,서울특별시 영등포구 선유로23길 3(양평동1가),문화정보교류시설
1057,서울특별시,영등포구,관광호텔,토요코인 서울영등포,토요코인 코리아 주식회사,영업중,2성,2020.09.10,지하3/ 지상18,992.1,9519.37,379,서울특별시 영등포구 신길로 293(영등포동1가),"레스토랑, 로비라운지, 세탁실, 
사무실, 프런트"
1058,서울특별시,영등포구,호스텔,서울H,김선기,영업중,호스텔,,지하1/지상8,165.6,730.94,33,서울특별시 영등포구 양산로1길 13,문화정보교류시설
1059,서울특별시,영등포구,호스텔,바모스,김형선,영업중,호스텔,,지하1/지상8,101.2,428.44,21,서울특별시 영등포구 영등포로47길 8-1(영등포동2가),문화정보교류시설
1060,서울특별시,영등포구,호스텔,SH호스텔,곽정애,영업중,호스텔,,지하1/지상9,281.1,836.55,38,서울특별시 영등포구 영등포로25길 20(당산동1가),문화정보교류시설
1061,서울특별시,동작구,관광호텔,신라스테이,박상오,영업중,3성,19.11.13.,지하4~지상19층,1106.34,17338.74,309,서울특별시 동작구 시흥대로 596,"레스토랑 1개, 미팅룸 3개, 피트니스센터 1개"
1062,서울특별시,동작구,관광호텔,카라쉬 관광 호텔,권철희,영업중,2성,19.04.24.,지하4층~지상15층,372.5,3220.2,63,서울시 동작구 동작대로 1길 15,레스토랑 1개
1063,서울특별시,동작구,관광호텔,핸드픽트.서울 호텔,김성호,영업중,3성,16.04.27.,지하2~지상10층,704.7,2976,42,서울특별시 동작구 상도로 120 (상도동),
1064,서울특별시,동작구,호스텔,플렉스,김상교,영업중,호스텔,,지하1~지상9층,159,882.56,22,서울특별시 동작구 사당로 297-3 (사당동),
1065,서울특별시,관악구,관광호텔,K2호텔,이길영,영업중,1성,2018-06-29,지하1~지상10 ,290.9,1572.8,45,서울특별시 관악구 신림로64길 29 (신림동),일반음식점
1066,서울특별시,관악구,관광호텔,나이스타임 관광호텔,이정옥,영업중,1성,2014.11.17,지하2 ~지상9,294.06,3266.84,60,서울특별시 관악구 신림로64길 28 (신림동),일반음식점
1067,서울특별시,관악구,관광호텔,신트라(SINTRA) 호텔,박필례 외 1 명,영업중,1성,2016-02-01,지하2~지상13,409.21,2994.57,54,"서울특별시 관악구 신림로66길 16 (신림동, 신트라호텔)",일반음식점
1068,서울특별시,관악구,관광호텔,어반(Urban)호텔,최병만,영업중,1성,2017-04-13,지하2~지상10,215.88,1734.96,49,서울특별시 관악구 난곡로64길 5 (신림동),커피숍
1069,서울특별시,관악구,관광호텔,(주)관광호텔뜨랑블루,이진숙,영업중,2성,2017-03-16,지하2~지상12층,524.6,3620.1,66,서울특별시 관악구 신림동7길 52 (신림동),일반음식점
1070,서울특별시,관악구,관광호텔,WD호텔,조원대,영업중,3성,2018-03-22,지하3~지상18,333.72,5794.06,108,서울특별시 관악구 신림로 349 (신림동),"커피숍,소매점4"
1071,서울특별시,관악구,관광호텔,(주)CS프리미어호텔서울,윤상미,영업중,3성,2017-12-29,지하2~지상18,363.52,5083.74,104,"서울특별시 관악구 남부순환로 1458 (신림동, CS프리미어호텔)","더시즌스카페앤뷔페레스토랑,더루프탑가든앤라운지"
1072,서울특별시,관악구,호스텔,스팅,홍정일 외 1 명,영업중,호스텔,,지하1~지상10,188.4,746.55,32,"서울특별시 관악구 관천로 64 (신림동, 스팅)",
1073,서울특별시,관악구,호스텔,스트디오93,정원창,영업중,호스텔,,지하1~지상11,98.5,576.09,18,서울특별시 관악구 신림로65길 16-4 (신림동),
1074,서울특별시,관악구,호스텔,어반스테이,정원창,영업중,호스텔,,지하1~지상11,193.7,995.53,42,서울특별시 관악구 신림로65길 16-18 (신림동),
1075,서울특별시,관악구,호스텔,그랑블루,김해경 외 1 명,영업중,호스텔,,지하1~지상11,153.7,910.56,38,서울특별시 관악구 신림동1길 6-5 (신림동),
1076,서울특별시,관악구,호스텔,상지,윤동진,영업중,호스텔,,지하1~지상10,116.68,581.76,21,관악구 신림동3길 13-8 (신림동),
1077,서울특별시,관악구,호스텔,삼화,신상훈 외 2명,영업중,호스텔,,지하1~지상11,182.7,1077.84,49,"관악구 신림로65길 10-33, (신림동)",
1078,서울특별시,서초구,관광호텔,쉐라톤서울팔래스강남호텔,서주산업개발㈜ (신석우),영업중,5성,2019-10-24,지하3 ~ 지상13,6007.2,31162.04,341,서초구 사평대로160(반포동),"음식점, 사우나, 비지니스센터, 수영장"
1079,서울특별시,서초구,관광호텔,JW메리어트호텔서울,신세계센트럴시티㈜ (박주형),영업중,5성,2018-03-23,지하5 ~ 지상33,59149.4,56933.2,497,서초구 신반포로176(반포동),"음식점(6개소), 즉석판매제조가공업(1), 수영장,
대연회장(4실), 결혼상담실, 비지니스센터"
1080,서울특별시,서초구,관광호텔,더케이서울호텔,더케이호텔앤리조트㈜(강준식),영업중,4성,2018-01-12,지하2 ~ 지상11,104618.3,52135.75,250,서초구 바위뫼로12길70(양재동),"음식점,수영장,미용실,공연장,
체력단련장,골프연습장,커피숍"
1081,서울특별시,서초구,관광호텔,더리버사이드호텔,㈜가우플랜 (안필호),영업중,3성,2018-03-05,지하2 ~ 지상13,6334.7,30095.87,109,서초구 강남대로107길6(잠원동),"음식점,운동시설,주점"
1082,서울특별시,서초구,관광호텔,프렌드호텔,㈜프렌드호텔 (서성용),영업중,미등급,기간만료,지하2 ~ 지상6,1091.4,3713.77,59,서초구 효령로345(서초동),"음식점,커피숍, 주점"
1083,서울특별시,서초구,관광호텔,호텔 소설,서영우,영업중,1성,2018-08-07,지하3 ~ 지상12,496.5,3660.67,52,서초구 반포대로14길53(서초동),레스토랑
1084,서울특별시,서초구,관광호텔,호텔티롤,㈜호텔티롤 (박종천),영업중,2성,2019-08-08,지하3 ~ 지상9,1438.7,7463.83,92,서초구 나루터로64(잠원동),"커피숍,미용실,주점"
1085,서울특별시,서초구,관광호텔,유원관광호텔,이인원,영업중,1성,2019-06-18,지하2 ~ 지상10,991.6,4991.34,71,서초구 반포대로12길29(서초동),"음식점,주점,미용원"
1086,서울특별시,서초구,가족호텔,프로비스타 가족호텔,㈜프로비스타 (이정배),영업중,가족호텔,-,지하3 ~ 지상15,1132.9,10996.82,160,서초구 서초대로338(서초동),"음식점,커피숍,비지니스센터,운동시설"
1087,서울특별시,서초구,관광호텔,호텔 페이토,㈜호텔페이토 (이재훈),영업중,3성,2019-05-22,지하4 ~ 지상19,798.6,8996.21,189,서초구 강남대로259(서초동),"커피숍, 음식점, 회의장"
1088,서울특별시,서초구,관광호텔,신라스테이 서초,㈜호텔신라 (이부진),영업중,미등급,기간만료,지하4 ~ 지상25,1147.3,17684.38,306,서초구 효령로427(서초동),"음식점,휘트니스센터"
1089,서울특별시,서초구,관광호텔,호텔라리아,㈜호텔라리아 (안태원),영업중,2성,2018-06-19,지하2 ~ 지상15,510.3,4830.49,81,서초구 반포대로 18길 62(서초동),"레스토랑,세미나실"
1090,서울특별시,서초구,호스텔,업플로호스텔,㈜유니언플레이스 (이장호),영업중,미등급,-,지상2 ~ 5,368.2,735.11,21,서초구 서초대로 56길 18(서초동),문화교류정보실
1091,서울특별시,서초구,관광호텔,오라카이청계산호텔,금보개발㈜ (정원석),영업중,4성,2019-07-18,지하3 ~ 지상5,4000,20177.715,193,서초구 청계산로 9길 1-7(신원동),"레스토랑, 사우나, 제과점, 카페테리아, 수영장
비지니스센터, 체련장"
1092,서울특별시,강남구,관광호텔,호텔리베라서울,신안관광(주),영업중,4성 ,2019.07.10,20(5~15),"5,320.30","42,108.55",319,강남구 영동대로 737,
1093,서울특별시,강남구,관광호텔,삼정관광호텔,삼정관광호텔(주),영업중,4성 ,2018.02.07,13(2~11),"1,882.00","15,070.31",163,강남구 봉은사로 150,
1094,서울특별시,강남구,관광호텔,라마다서울호텔,라미드관광(주),영업중,등급보류,2020.12.28.,15(3~12),"6,104.60","28,421.75",246,강남구 봉은사로 410,
1095,서울특별시,강남구,관광호텔,임피리얼팰리스 호텔,태승21(주),영업중,5성 ,2018.11.07,23(4~19),"6,759.00","44,814.50",404,강남구 언주로 640,
1096,서울특별시,강남구,관광호텔,힐탑 관광호텔,우창홀딩스(주),영업중,2성 ,2018.08.07,7(2~5),"1,942.40","6,373.01",57,강남구 논현로 647,
1097,서울특별시,강남구,관광호텔,호텔 자이언트,성제기업(주),영업중,등급없음,2020.12.28.,8(2~6),"2,031.80","5,044.38",52,강남구 봉은사로 459,
1098,서울특별시,강남구,관광호텔,호텔 선샤인,(주)선샤인,영업중,3성 ,2019.04.17,9(1~8),"2,786.10","9,070.19",111,강남구 도산대로 205,
1099,서울특별시,강남구,관광호텔,그랜드인터컨티넨탈서울파르나스,파르나스호텔(주),영업중,5성 ,2018.04.02,37(4~33),"18,403.40","129,011.85",519,강남구 테헤란로 521,
1100,서울특별시,강남구,관광호텔,호텔 프리마,호텔프리마(주),영업중,3성 ,2018.07.23,15(4~11),"4,638.10","20,422.27",120,강남구 도산대로 536,
1101,서울특별시,강남구,관광호텔,라까사호텔,(주)라까사호텔,영업중,기간만료,2020.12.28.,11(2~9),"1,544.4
564.40","4,638.17
2,940.71",89,"강남구 도산대로1길 83(서관)
압구정로 102(동관)",
1102,서울특별시,강남구,관광호텔,엘리에나호텔,엘리에나호텔㈜,영업중,기간만료,2020.12.28.,19(4~15),"3,165.50","20,971.40",82,강남구 논현로 645,
1103,서울특별시,강남구,관광호텔,노보텔앰배서더강남,앰배서더즈(주),영업중,4성 ,2018.02.13,22(6~16),"6,228.90","41,813.29",332,강남구 봉은사로 130,
1104,서울특별시,강남구,관광호텔,라비타 호텔,"허금형,김종국,김종범",영업중,2성 ,2019.02.11,8(1~7),955.30,"2,848.67",57,강남구 영동대로 712,
1105,서울특별시,강남구,관광호텔,르 메르디앙 서울 호텔,전원산업(주),영업중,5성 ,2019.06.25,24(7~17),"10,362.50","60,566.75",336,강남구 봉은사로 120,
1106,서울특별시,강남구,관광호텔,영동관광호텔,용창산업(주),휴업중,기간만료,2020.12.28.,11(2~9),"1,781.20","7,921.25",131,강남구 도산대로 144,
1107,서울특별시,강남구,관광호텔,인터컨티넨탈서울코엑스,파르나스호텔(주),영업중,5성 ,2019.08.10,35(6~29),"148,784.00","110,467.64",654,강남구 봉은사로 524,
1108,서울특별시,강남구,가족호텔,오크우드프리미어,한무컨벤션(주),영업중,가족,,31(5~26),"148,784.00","55,868.53",280,강남구 테헤란로87길 46,
1109,서울특별시,강남구,관광호텔,이비스 스타일 앰배서더 강남,(주)앰배스텔,영업중,3성 ,2018.05.30,20(6~14),"1,559.60","17,842.04",317,강남구 삼성로 431,
1110,서울특별시,강남구,관광호텔,렉스관광호텔,김우남,영업중,기간만료,2020.12.28.,12(3~9),748.20,"3,650.68",63,강남구 강남대로 588,
1111,서울특별시,강남구,관광호텔,베스트웨스턴프리미어강남,신세계개발(주),영업중,기간만료,2020.12.28.,20(5~15),623.40,"6,960.23",128,강남구 봉은사로 139,
1112,서울특별시,강남구,관광호텔,파크하얏트서울,HDC현대산업개발(주),영업중,5성 ,2017.04.26,28(4~24),"1,777.30","22,998.17",185,강남구 테헤란로 606,
1113,서울특별시,강남구,관광호텔,트리아 관광호텔,"한석원,한길수",영업중,기간만료,2020.12.28.,10(2~8),497.30,"3,001.86",50,강남구 테헤란로33길 16,
1114,서울특별시,강남구,관광호텔,글래드 라이브,오라관광㈜,영업중,기간만료,2020.12.28.,24(5~19),"1,327.40","16,591.65",210,강남구 봉은사로 223,
1115,서울특별시,강남구,관광호텔,녹스부띠끄 관광호텔 (2011-01),김원호,영업중,기간만료,2020.12.28.,15(3~12),340.30,"2,785.91",41,강남구 테헤란로37길 13-13,
1116,서울특별시,강남구,관광호텔,머큐어 앰버서더 쏘도베 호텔,㈜희앤썬,영업중,4성,2020.12.28.,28(7~21),"1,347.60","18,428.36",288,강남구 테헤란로25길 10,
1117,서울특별시,강남구,관광호텔,호텔 더 디자이너스 삼성,최윤배,영업중,기간만료,2020.12.28.,12(2~10),632.80,"3,997.73",90,"강남구 테헤란로79길 7, 9",
1118,서울특별시,강남구,관광호텔,호텔 그라모스,"윤국기, 김말임, 윤영신, 윤영범",영업중,등급보류,2020.12.28.,12(2~10),331.10,"1,996.40",42,강남구 테헤란로33길 6-5,
1119,서울특별시,강남구,관광호텔,호텔 컬리넌 역삼,,영업중,2성 ,2020.04.10,11(1~10),329.50,"1,999.26",54,강남구 언주로87길 11,
1120,서울특별시,강남구,관광호텔,호텔 신라스테이 역삼,신라스테이(주),영업중,3성 ,2018.07.09,20(5~15),"6,791.90","29,325.44",306,강남구 언주로 517,
1121,서울특별시,강남구,관광호텔,알로프트 서울 강남 호텔,대신투자개발㈜,영업중,3성 ,2018.08.22,18(3~15),982.80,"10,200.01",188,강남구 영동대로 736,
1122,서울특별시,강남구,관광호텔,에이치 에비뉴 호텔 역삼,㈜야놀자에프엔지,영업중,1성,2019.10.30.,11(1~10),331.40,"1,987.57",49,강남구 테헤란로29길 12,
1123,서울특별시,강남구,관광호텔,호텔 데님,"마광영, 박성희, 마재억",영업중,2성 ,2018.11.20,12(4~8),988.00,"7,500.02",88,강남구 논현로 66,
1124,서울특별시,강남구,관광호텔,더 리센츠 프리미엄강남 호텔,케이에셋운용㈜,영업중,3성 ,2018.10.05,23(6~17),835.30,"9,949.48",212,강남구 도산대로 119,
1125,서울특별시,강남구,관광호텔,리치웰 호텔,"김대의, 김옥희",영업중,2성,2020.07.22.,17(3~14),342.50,"3,227.77",57,강남구 테헤란로37길 13-10,
1126,서울특별시,강남구,관광호텔,보리호텔,호텔마케팅㈜,영업중,3성 ,2019.03.28,12(3~9),"1,094.30","4,628.25",46,강남구 역삼로 160,
1127,서울특별시,강남구,호스텔,인더시티 호스텔,강덕환,영업중,호스텔,,16(3~13),338.20,"2,967.31",30,강남구 테헤란로37길 13-8,
1128,서울특별시,강남구,관광호텔,더제리스 플래닛 호텔,㈜태훈,영업중,1성 ,2019.03.09,14(4~10),606.20,"3,505.80",42,강남구 강남대로92길 13,
1129,서울특별시,강남구,관광호텔,호텔 포레힐,은탑산업개발㈜,영업중,3성 ,2019.07.19,14(6~8),"1,498.10","11,408.84",82,강남구 학동로 117,
1130,서울특별시,강남구,관광호텔,호텔 카푸치노,㈜엠오디,영업중,기간만료,2020.12.28.,20(3~17),605.30,"5,992.92",141,강남구 봉은사로 155,
1131,서울특별시,강남구,관광호텔,베니키아 노블레스 호텔,이영숙,영업중,1성 ,2019.03.28,11(1~10),420.7,"1,999.18",42,강남구 테헤란로25길 6-13,
1132,서울특별시,강남구,호스텔,스텔라 호스텔,윤경연,영업중,호스텔,,11(1~10),234.9,"1492.3
(호스텔 420)",29,강남구 선릉로90길 62,
1133,서울특별시,강남구,관광호텔,부띠끄 호텔 엑스와이엠,전찬호,영업중,1성,2019.12.26.,7(1~6),475.3,"1,673.60",34,강남구 테헤란로 611,
1134,서울특별시,강남구,호스텔,K-그랜드호스텔 강남1,"이강헌,이태조",영업중,호스텔,,6(1~5),334.5,"1,013.88",28,강남구 강남대로112길 11,
1135,서울특별시,강남구,관광호텔,호텔 페이토 삼성,페이토개발㈜,영업중,기간만료,2020.12.28.,24(5~19),526.5,"7,183.43",163,강남구 테헤란로87길 9,
1136,서울특별시,강남구,관광호텔,호텔 더 디자이너스 리즈 강남 프리미어,이영자,영업중,기간만료,2020.12.28.,22(4~19),1240.7,"10,896.465",171,강남구 봉은사로 113,
1137,서울특별시,강남구,호스텔,오아시스 호스텔,최희식,영업중,호스텔,,8(1~7),422.4,"1991.41
(호스텔 6층 247.9)",13,강남구 테헤란로8길 13,
1138,서울특별시,강남구,가족호텔,강남 패밀리 호텔,㈜강남레지던스,영업중,가족,,19(5~14),"1,045.20","12,101.00",105,강남구 봉은사로 143,
1139,서울특별시,강남구,관광호텔,강남 스테이 호텔,김수태,영업중,3성,2019.09.08,14(2~12),313.3,"1,997.09",52,강남구 논현로87길 15-4,
1140,서울특별시,강남구,관광호텔,호텔 소울하다,오성덕,영업중,기간만료,2020.12.28.,8(1~7),457.9,"1,998.057",46,강남구 테헤란로10길 5,
1141,서울특별시,강남구,호스텔,클로이 호스텔,오종삼,영업중,호스텔,,4(1~3),755.9,"2,309.1
(호스텔3층 519.34)",27,강남구 강남대로 620,
1142,서울특별시,강남구,관광호텔,호텔 디 아티스트 역삼,주식회사 제이앤드와이컨설팅,영업중,기간만료,2020.12.28.,11(1~10),327.8,"1,947.88",50,강남구 테헤란로29길 11,
1143,서울특별시,강남구,관광호텔,카파쓰 호텔,김영욱,영업중,기간만료,2020.12.28.,11(1~10),345.7,"1,999.86",48,강남구 언주로89길 21,
1144,서울특별시,강남구,관광호텔,도미인 서울 강남,㈜한국교리쯔멘테난스,영업중,3성 ,2020.09.29,19(3~16),"1,078.40","8,527.58",220,강남구 봉은사로 134,
1145,서울특별시,강남구,관광호텔,호텔 유리앤,㈜두진아이디,영업중,기간만료,2020.12.28.,17(3~14),728.80,"6,661.44",175,강남구 삼성로96길 20,
1146,서울특별시,강남구,관광호텔,호텔 컬리넌 개포,"김성수, 이영자",영업중,1성 ,2018.02.07,10(2~8),366.20," 1,627.92 ",47,강남구 논현로 74-1,
1147,서울특별시,강남구,관광호텔,호텔 엔트라,"최인영, 원석연, 원소연",영업중,3성,2018.05.21.,24(4~20),488.30,"5,666.38 ",92,강남구 도산대로 508,
1148,서울특별시,강남구,소형호텔,왈츠 호텔,"홍정식, 홍희은, 홍수연",영업중,기간만료,2020.12.28.,7(1~6),366.40,"1,264.05 ",28,강남구 강남대로112길 20,
1149,서울특별시,강남구,관광호텔,㈜호텔롯데 L7 강남,㈜호텔롯데,영업중,4성 ,2018.06.29,33(6~27),"2,303.70","33,584.29 ",333,강남구 테헤란로 415,
1150,서울특별시,강남구,관광호텔,호텔 글래드 강남 코엑스센터,글래드호텔앤리조트㈜,영업중,3성 ,2018.06.08,24(4~20),"1,485.80","13,255.23 ",282,강남구 테헤란로 610,
1151,서울특별시,강남구,소형호텔,오월호텔,㈜베리모나코,영업중,2성 ,2019.06.07,12(3~9),683.80,"3,281.33 ",28,강남구 언주로85길 27,
1152,서울특별시,강남구,관광호텔,포포인츠바이쉐라톤서울강남,㈜서우제이앤디,영업중,4성 ,2018.08.30,25(4~21),"1,167.80","12,190.00 ",199,강남구 도산대로 203,
1153,서울특별시,강남구,관광호텔,호텔 세느,강광식,영업중,2성 ,2019.04.24,10(2~8),541.50,"1,956.35 ",40,강남구 논현로 533,
1154,서울특별시,강남구,관광호텔,호텔 뉴브,권태석,영업중,3성 ,2019.05.30,19(5~14),"1,011.40","11,823.91",150,강남구 선릉로85길 6,
1155,서울특별시,강남구,호스텔,파티오 7,주식회사 휴민스테이,영업중,호스텔,,16(4~12),847.5,"5,335.19",107,강남구 논현로 736,
1156,서울특별시,강남구,관광호텔,호텔 크레센도 서울,㈜알제이홀딩즈,영업중,3성 ,2019.04.05,17(4~13),802.20,"4,997.80",108,강남구 봉은사로 428,
1157,서울특별시,강남구,관광호텔,에이든 청담호텔,이생정보통신㈜,영업중,3성 ,2019.07.05,24(5~19),956.80,"9,301.86",149,강남구 도산대로 216,
1158,서울특별시,강남구,관광호텔,호텔 인 나인 (2019-01),삼성파로스호텔 ㈜,영업중,4성,2020.02.25.,23(4~19),680.80,"8,003.69",151,강남구 영동대로 618,
1159,서울특별시,강남구,가족호텔,호텔리베라 아노블리 (2019-02),㈜신안관광,영업중,가족,,20(4~16),"1,331.00","3,621.10",30,강남구 강남구 도산대로 419,
1160,서울특별시,강남구,관광호텔,"안다즈 서울 강남
(2019-03)",㈜케이티에스테이트,영업중,5성,2020.02.04,22(5~17),"5,811.10","42364,66
호텔 36,111.54",241,강남구 논현로 854,
